date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b,outcome_effectif,min_odds,max_odds,good_pred,worst_pred,draw_pred
2019-05-05 14:00:00,Sunday,14:00,1.99,3.94,3.45,3,0,2018/2019,Nantes,Dijon,HOME,HOME,AWAY,1,0,0
2019-05-05 14:00:00,Sunday,14:00,2.31,3.18,3.36,2,2,2018/2019,Toulouse,Rennes,DRAW,HOME,DRAW,0,1,0
2019-05-04 19:00:00,Saturday,19:00,2.52,3.04,3.14,0,1,2018/2019,Bordeaux,Angers,AWAY,HOME,DRAW,0,0,1
2019-05-04 19:00:00,Saturday,19:00,1.9,4.61,3.31,0,0,2018/2019,Guingamp,Caen,DRAW,HOME,AWAY,0,0,1
2019-05-04 19:00:00,Saturday,19:00,1.97,4.09,3.43,0,3,2018/2019,Reims,Nimes,AWAY,HOME,AWAY,0,1,0
2019-05-04 16:00:00,Saturday,16:00,1.18,12.71,8.12,1,1,2018/2019,Paris SG,Nice,DRAW,HOME,AWAY,0,0,1
2019-05-03 19:45:00,Friday,19:45,3.66,2.12,3.4,1,1,2018/2019,Strasbourg,Marseille,DRAW,AWAY,HOME,0,0,1
2019-05-01 18:00:00,Wednesday,18:00,3.47,2.13,3.5,2,2,2018/2019,Rennes,Monaco,DRAW,AWAY,DRAW,0,1,0
2019-04-30 18:00:00,Tuesday,18:00,4.74,1.72,3.93,3,2,2018/2019,Montpellier,Paris SG,HOME,AWAY,HOME,0,1,0
2019-04-28 20:00:00,Sunday,20:00,1.51,6.91,4.27,1,2,2018/2019,Marseille,Nantes,AWAY,HOME,AWAY,0,1,0
2019-04-28 16:00:00,Sunday,16:00,1.49,6.83,4.39,2,0,2018/2019,St Etienne,Toulouse,HOME,HOME,AWAY,1,0,0
2019-04-28 14:00:00,Sunday,14:00,2.32,3.35,3.17,1,1,2018/2019,Angers,Reims,DRAW,HOME,AWAY,0,0,1
2019-04-28 14:00:00,Sunday,14:00,3.1,2.5,3.09,1,0,2018/2019,Caen,Dijon,HOME,AWAY,HOME,0,1,0
2019-04-28 14:00:00,Sunday,14:00,2.36,3.32,3.15,0,0,2018/2019,Amiens,Strasbourg,DRAW,HOME,AWAY,0,0,1
2019-04-28 14:00:00,Sunday,14:00,1.43,8.01,4.55,5,0,2018/2019,Lille,Nimes,HOME,HOME,AWAY,1,0,0
2019-04-28 14:00:00,Sunday,14:00,2.25,3.66,3.07,3,0,2018/2019,Nice,Guingamp,HOME,HOME,AWAY,1,0,0
2019-04-26 19:45:00,Friday,19:45,5.07,1.65,4.08,2,3,2018/2019,Bordeaux,Lyon,AWAY,AWAY,HOME,1,0,0
2019-04-21 20:00:00,Sunday,20:00,1.28,9.39,6.23,3,1,2018/2019,Paris SG,Monaco,HOME,HOME,AWAY,1,0,0
2019-04-21 16:00:00,Sunday,16:00,2.69,2.79,3.19,0,2,2018/2019,Reims,St Etienne,AWAY,HOME,DRAW,0,0,1
2019-04-21 14:00:00,Sunday,14:00,2.03,4.32,3.1,3,2,2018/2019,Nantes,Amiens,HOME,HOME,AWAY,1,0,0
2019-04-21 14:00:00,Sunday,14:00,3.68,2.14,3.28,0,0,2018/2019,Toulouse,Lille,DRAW,AWAY,HOME,0,0,1
